,actmin,amp,alpha,beta,phi,IS,IV,RA
30004,0.6963914178366906,1.999999999969773,-0.8398794974922478,12.174420102264513,15.700554308479852,0.23730105894440037,0.49709043927092184,0.978493115578466
30008,1.0473583502858277,1.552862640540556,-0.8530695196726841,325.42375178054164,16.600185487939946,0.2612267836441341,0.524767850500521,0.9614663227578537
30009,1.0882497222245977,1.6213752949147409,-0.8399566462948057,385.75440819433885,14.813228844154878,0.23685331762207076,0.1943388636474654,0.9657100775868561
30012,1.384583738126292,1.4373374181006817,-0.613403332701022,7.015407336242743,15.689278078570743,0.26834204402798073,0.2993279414345611,0.9548063055247245
30015,1.0706291376065808,1.6051770849111235,-0.6909001523011181,419.6172530714512,14.554844028984188,0.21480100178030445,0.2861089329723228,0.9748197686662192
30019,1.2336302514703439,1.3968753625228445,-0.7452292502347592,274.2915071891094,17.204218292069946,0.25549935395971124,0.47015124895743765,0.9548963996480032
30020,0.6507092038266941,1.9999999999920959,-0.8937542997055141,16.282675795553494,17.35238246095481,0.2783833660099457,0.5786032781324636,0.956103419508161
30023,0.49927529052481867,1.99999999999991,-0.8837422123095415,7.079193976027694,16.337607216056366,0.24237262779760718,0.4473286646128052,0.9107373562456049
30027,0.6264230399279794,1.9999999999999998,-0.8625047558597785,4.848090920994362,13.686780375750397,0.28445780194643394,0.41677788550521666,0.9629809643023854
30040,1.3873209642067892,1.2834625075695163,-8.105867106665526,9.05015698683471,7.74160300280545,0.14340071696012793,0.4166583149249125,0.40614381226082164
30057,1.0216589961167253,1.6646778318548756,-0.6842221241545969,48.356917860402284,16.013454528645177,0.32800107635765663,0.450159450075461,0.9605694721389826
30064,0.8654500737866592,1.7000941906944573,-0.8784550830600849,11.155598382057446,13.927607987234687,0.196517205100318,0.4096784762320836,0.9382440995300712
30066,0.6225138041401604,1.9999999999968459,-0.8726686431586705,6.539126129118846,13.603451099862541,0.23099743259979774,0.4675300776431012,0.9330572522374384
30069,0.7930121700267971,1.644509124100438,-0.8758990034502897,378.36752140935175,18.21263798197917,0.22103885893003833,0.4725244461469076,0.9669524925436727
30074,1.7732233859144586,0.9040744666573153,-0.7803865987667616,398.66793404619483,16.556483691523002,0.21359310137421889,0.6866296122123597,0.8671795597524733
30085,1.5985255933482012,1.0397499280843365,-0.7152862669902856,164.23376648967272,16.91902275122417,0.32992216085823783,0.5251554966301768,0.9238801565291441
30088,1.1185778537426974,1.4506332391936931,-0.8055896079526652,46.31442637206409,16.781593323048174,0.2299096698834974,0.5323530384468277,0.9467963494257743
30090,0.9171775075508083,1.7925527768095468,-0.6993309062859172,15.603963535470584,17.354740555507757,0.290477565674241,0.4842356690065208,0.97600955152292
30091,0.7952998841019855,1.9424294915251248,-0.8057195525276692,79.50402036305518,15.318514699200774,0.2670543375025961,0.5888337957526283,0.9766258162317457
30095,1.217485553520014,1.5285795199651437,-0.47672768499160245,11.432932952506114,16.98620078203784,0.2813753446055947,0.403094275543326,0.9525818502868844
30096,1.169383187229933,1.5414934575455357,-0.9404999281457975,365.77318792767227,16.689613557877966,0.2057731480536003,0.6913577971204513,0.9232593583303526
30101,0.9922493823955888,1.6802360510032162,-0.8939800772527502,22.317966102147395,17.146414351240082,0.20630524371579254,0.5363404346290213,0.9507418024055315
30116,1.4973862596259968,1.2954062163355973,-0.6877445761970835,80.93315457003159,17.778270245752584,0.3282778675448773,0.5748937033183883,0.934895690102018
30118,1.4072093810582602,1.3577116450714104,-0.7858722690477953,28.91931096349003,16.486255409832168,0.24802959196923258,0.29345942319403134,0.9560513893541376
30119,1.107994629258126,1.451807272256328,-0.6702996085029231,47.59035509913691,16.836740739394045,0.3297017019947383,0.5229745494691281,0.9352305247799525
30128,0.5708175358864056,1.9999999999999998,-0.8855831376269142,9.60040783168182,18.288311310736187,0.239240525799455,0.5231152069176447,0.9479334715841649
30181,0.8857571548698552,1.9915430433918357,-0.8637765375746413,12.437604093448911,14.779618688992784,0.3038793745180257,0.4953948333614735,0.9663835846507723
30217,1.0568230685291073,1.5144980098622498,-0.8529541491891149,100.99056110141727,19.137343651194268,0.2243086294218235,0.4258874182499194,0.9628569555812886
30227,1.3832601999951184,1.227618116662841,-0.8271914671799411,220.73066597929275,15.421842592354166,0.2676299718517483,0.3804076000047614,0.9300225457938538
30236,0.9241156347698027,1.7029249716678883,-0.7703027465351641,43.37869829053039,14.445819837630129,0.1967124345117919,0.2625728492757313,0.9639003838274881
30242,1.257012506653672,1.3302320714077183,-0.7362172899289401,100.69136170573319,19.298143213285105,0.2382268886117322,0.533960902706227,0.9139495268043099
30255,0.9886795390032764,1.5747493936037085,-0.8170246373683193,390.62313907837813,14.953697511705213,0.21770911533984344,0.5405550439353638,0.9434525988957072
30274,1.8525455293608946,0.7719185346912476,-0.8387961528435111,375.6242175397095,16.32468668063332,0.19278032699474237,0.5725325295927455,0.7362190796210188
30283,1.1429293016291284,1.4744075936310008,-0.7952170473822202,395.37428221021787,19.432939593603074,0.23467754884068803,0.4735455379949652,0.9801951768426362
30295,0.7760440337636237,1.9352670828980185,-0.5248647854003097,18.52685093150205,15.585054387963092,0.27043764579408575,0.3184065385673225,0.9829064185888449
30330,0.9013901386404712,1.7903598530462992,-0.9039323929365803,6.78360047806594,17.673091640236667,0.18882644370140783,0.45702388340150496,0.8897622908930856
30346,1.9674758961820586,0.6803709662895727,-0.719062049645924,54.55235703945695,16.564161145657664,0.2533190692268191,0.4726352401198152,0.8344122406068392
30376,1.3750761333096675,1.236663327616879,-0.9901699414430192,356.6443232708318,15.879971635472108,0.19510860208131317,0.4127356377915348,0.6819947323430023
30395,1.1362475955581501,1.5653805368907723,-0.8131041908571925,120.70774727175534,16.69176098289053,0.20169060398020477,0.3832443328526909,0.9501906102443239
30400,1.3558850708430186,1.2396347080457886,-0.7689918063033198,319.36494333329455,15.076412911808907,0.22595239256550004,0.45199295017578117,0.9080904774185719
30403,0.7312504843869706,1.9999999999999998,-0.9486769486203759,20.919214535061833,14.425745591731264,0.24595757872920118,0.3973294447727436,0.9542010112448318
30407,0.7667953100084254,1.916323403376433,-0.9481200615113434,364.34247400726787,16.554144312910413,0.2603604231170914,0.41486364594922537,0.9727249968067441
30412,0.3623354066997575,1.9999999999999998,-0.35163071864901296,525.0980977427485,17.83210544371504,0.15482579613648403,0.32202224184371026,1.0
30417,1.0292675034113974,1.8005076338888915,-0.6048289755496794,43.61381054731414,15.360849114489998,0.3793366735446769,0.39903075202405647,0.9883557072566443
30426,0.6469942814505223,1.9999999999999998,-1.0076453590830505,5.2705813001166515,20.41680998284676,0.2458255109601862,0.6384756939604059,0.8336547317347361
30432,1.9999999999999998,0.7761103685969941,-0.7541944260615357,12.535483257119358,17.236043018392895,0.25595845914774734,0.4502059609549941,0.8231679257662232
30433,0.4980757557827764,1.9999999999999998,-0.7623397642128897,10.522015551688188,15.893109357161558,0.19578896936135354,0.4952742932985338,0.9626012697864732
30466,1.9999999999999998,0.7786473542595536,-0.672089315822016,226.02425485085828,16.622298560580376,0.19103744751732107,0.40243789237213123,0.8440904738084819
30469,1.241784784658301,1.3421078954369507,-0.8715562932892603,96.77370342741156,16.848062162080016,0.17036834969856027,0.38199328332260674,0.9337888605153443
30476,1.622721531560656,0.9891782545799384,-0.5890786297191601,38.95955888138569,16.998508238510617,0.24658740678231922,0.5768829813359824,0.8762922263848615
30478,0.645879909437631,1.9999999999999998,-0.9453461359979849,10.952252335001083,18.36899683129366,0.263371352000709,0.5238135446656778,0.8820656189989312
30568,1.9999999999999998,0.8384002803563277,-0.5061387437662175,3.814092836648284,18.135023984016723,0.29259361189445815,0.48725680801603655,0.8432504363293502
30570,0.9465935794203885,1.7042522505880868,-0.690785273640517,31.475762373083864,17.426122803629557,0.299400305125179,0.4388698287470744,0.9784114240557726
30581,0.698233398413324,1.9999999999874787,-1.3012429864326902,3.5498871995071792,17.328334268466175,0.19529877900398454,0.4376123954684591,0.6379099211078832
30584,0.5841620672905965,1.9999999999999993,-0.9145767617394329,20.624136834819993,18.570094945642637,0.28731840962563004,0.5368556571349977,0.9545986174706327
30588,1.9999999999998734,0.6976058901814697,-1.08517335933112,2.096192117378619,8.863208431775162,0.1556302216974945,0.5263329748824087,0.5848211986831657
40160,1.1793232471047133,1.5355501748856812,-0.6439879724388632,15.881797877066562,16.89201086359946,0.3310521980677582,0.3779711304252143,0.9627488697243554
40170,0.6606540681546512,1.6855004846155421,-0.7097409447304864,24.49285985319348,14.318908171621848,0.29596476423087015,0.35711070987954086,0.9779845767712669
40175,0.6315511647665464,1.9999999999999998,-0.7198089568371774,3.0404995948727285,19.025093569606014,0.340210862175041,0.4423887550101922,0.9492908444819667
40288,0.877586042455154,1.7275887398907843,-0.6016637870834027,25.774653875975424,14.843062664470382,0.36829819465509817,0.4079730859525219,0.9785544134272998
40351,0.6128875155619397,1.9999999999999998,-0.9501637622700126,10.112751000844453,18.586874115565976,0.20329536238881563,0.4333530777483907,0.9174303043864612
40490,1.6252991807313084,0.9719749013051389,-0.7926786412015949,66.09012071364272,16.613507778076325,0.23747704735213096,0.4240280774280112,0.8751611553834807
40496,1.467177143349697,1.1848008833370638,-0.43893484027848956,34.020417302857325,15.00077929621682,0.3751288559027136,0.5595733672992811,0.929204754482413
40500,1.7707572778198684,0.7868983393247589,-0.34971322285345735,12.090691303015726,13.127853203045541,0.36288970870888115,0.52148955369131,0.8549787915684521
40511,1.6034678897566024,0.8549150710996057,-0.5021051604439907,470.4237468972005,14.604229886875986,0.1804945148844874,0.1947274929636963,0.9277201102563102
40512,0.4061237660296449,1.9999999999999998,-0.9096314128604882,7.865611850642594,18.976617855018553,0.1992973709721542,0.6183053008528576,0.8988448190602628
40515,1.615308306285349,1.0432206385767528,-0.5986662249506927,28.51606280920732,15.110789219855569,0.3053689917645009,0.296677602436444,0.9481985495848604
40516,1.2281116054574652,1.3434761789388079,-0.4709044202146728,14.460038767420476,17.33744306476457,0.33511917898965515,0.6509826889748517,0.9470286641095216
40519,1.2761155102670942,1.3779830859603885,-0.6278730281803079,94.68308145483662,16.922907053650075,0.27935771006086974,0.4779616093135677,0.9269333648526771
40520,1.1144860087107467,1.4898999903862429,-0.616096514973951,17.40458319506459,15.383589126634293,0.3401685728825297,0.4664155858333004,0.9388888681738128
40522,0.9509235123280688,1.7018566922484866,-0.49476079715928717,6.004175692347182,14.463145873336044,0.4061044801366224,0.3551825635587201,0.9766213230676017
40524,0.9833083539717664,1.4630790170865082,-0.4561634964173558,487.4237300232764,12.793443692939405,0.2716476458767402,0.3868372070276858,0.9298675160850687
40538,1.1016109432827415,1.4034543391437653,-0.935535974602686,366.71090921127995,17.048401885753577,0.2663616711696516,0.4432608028231602,0.937438959663659
40547,0.5488455981074386,1.999999999999673,-0.9279592995055648,4.103655889495798,13.568452341974064,0.17878206527754759,0.2782318818944939,0.890554573445567
40550,1.7846710970335766,0.8843065570465773,-0.5755233977753815,90.81028075161808,15.82359413501177,0.37216365812701113,0.4634077617025948,0.8758552168108517
40564,0.7955919661480204,1.9999999999999998,-0.9882471123600177,4.378953914764004,16.049003444907278,0.28206967187489945,0.563250830513991,0.8723344124350844
40601,1.1191380831899267,1.3854216168246474,-0.6234013981791753,437.2155058761549,15.384687665439735,0.3350090591724219,0.4504136758362178,0.9485773680351691
